epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,2620.87,0.82619,4.32155,0.33081,0.5291,1.18911,0.96966,1,0.995,0.995,0,0,0,0,0.43529,5.58439,0.04093,0.25864,0.8831,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2673.12,0.81562,4.3254,0.33632,0.52596,1.17186,0.97063,1,0.995,0.8955,0,0,0,0,0.52934,6.41033,0.04011,0.25218,0.94717,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2724.95,0.81693,4.23804,0.32376,0.53061,1.17605,1,1,0.995,0.8955,0,0,0,0,0.59308,6.13789,0.05938,0.28882,0.96852,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,2776.96,0.80071,4.1685,0.32304,0.51229,1.17279,0.97164,1,0.995,0.8955,0,0,0,0,0.52178,6.15403,0.03716,0.23028,1.00371,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2828.9,0.79709,4.21919,0.32444,0.5138,1.16979,0.97052,1,0.995,0.796,0,0,0,0,0.95165,5.77253,0.0374,0.37696,1.10073,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2881.02,0.80233,4.16257,0.31882,0.51936,1.16703,0.97036,1,0.995,0.8955,0,0,0,0,0.70263,6.01174,0.04263,0.36538,1.02312,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,2932.91,0.79307,4.04551,0.31485,0.51086,1.16529,0.97041,1,0.995,0.8955,0,0,0,0,0.51305,6.26398,0.05199,0.26365,1.00442,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,2984.87,0.79165,4.06079,0.32059,0.50666,1.1588,0.97207,1,0.995,0.8955,0,0,0,0,0.60985,6.08648,0.04502,0.32844,0.95529,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3037.09,0.80171,4.0959,0.32451,0.50858,1.17127,0.97014,1,0.995,0.8955,0,0,0,0,0.74822,6.0369,0.04581,0.27524,1.02915,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3089.21,0.79901,4.09417,0.3249,0.51524,1.16406,0.97112,1,0.995,0.796,0,0,0,0,0.78864,5.8936,0.0553,0.45609,1.0618,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3141.15,0.80532,4.1218,0.31768,0.51413,1.16508,1,1,0.995,0.8955,0,0,0,0,0.65073,6.3405,0.04538,0.36709,0.98121,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3193.12,0.79869,4.02914,0.31594,0.50119,1.16526,0.96986,1,0.995,0.8955,0,0,0,0,0.58909,6.49337,0.06499,0.29703,0.90769,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3244.94,0.77733,4.08555,0.31883,0.49022,1.15401,0.96979,1,0.995,0.796,0,0,0,0,0.75183,6.32385,0.05505,0.36549,0.8944,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3297.07,0.80224,4.08609,0.31235,0.51923,1.17206,0.96935,1,0.995,0.8955,0,0,0,0,0.62615,6.15519,0.04192,0.28619,0.95255,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3348.99,0.78748,4.00503,0.30711,0.50222,1.16267,0.96936,1,0.995,0.8955,0,0,0,0,0.57922,5.79715,0.04222,0.33155,0.89618,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,3400.87,0.77831,3.97519,0.31004,0.49628,1.1631,0.96916,1,0.995,0.995,0,0,0,0,0.29385,5.95015,0.03752,0.22206,0.84446,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,3452.87,0.7879,3.9583,0.30869,0.49854,1.15663,0.96883,1,0.995,0.8955,0,0,0,0,0.75559,6.03343,0.05113,0.34627,0.98666,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,3505.02,0.77906,3.88483,0.30765,0.49582,1.15726,0.96928,1,0.995,0.8955,0,0,0,0,0.66713,6.27071,0.05301,0.26384,0.98805,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,3556.84,0.77957,3.904,0.30481,0.47909,1.15408,0.97013,1,0.995,0.8955,0,0,0,0,0.64985,6.30181,0.0405,0.30044,0.95226,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,3609.03,0.76533,3.84982,0.30374,0.49068,1.15292,0.96926,1,0.995,0.995,0,0,0,0,0.47027,6.01403,0.03692,0.2584,0.93952,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,3661.02,0.78086,3.83372,0.30781,0.48764,1.15079,1,1,0.995,0.796,0,0,0,0,0.81744,6.10406,0.03458,0.31814,1.00458,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,3713.14,0.76998,3.78187,0.30427,0.48404,1.15062,0.96822,1,0.995,0.796,0,0,0,0,0.57182,6.4758,0.04397,0.38274,0.92039,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,3765.02,0.76445,3.78123,0.30314,0.47883,1.13791,0.96836,1,0.995,0.796,0,0,0,0,0.93184,5.88582,0.0452,0.45232,0.95893,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,3816.95,0.76035,3.76037,0.30002,0.47208,1.14119,0.96855,1,0.995,0.8955,0,0,0,0,0.48415,6.25277,0.03645,0.28499,0.8672,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,3868.91,0.78212,3.77638,0.30124,0.48557,1.15976,0.96821,1,0.995,0.8955,0,0,0,0,0.60305,5.67718,0.04418,0.45735,0.8733,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,3920.98,0.74521,3.72105,0.29957,0.47129,1.13784,0.96919,1,0.995,0.8955,0,0,0,0,0.71078,4.8335,0.0687,0.43018,0.89862,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,3972.96,0.74712,3.80441,0.30159,0.46986,1.13752,0.97061,1,0.995,0.995,0,0,0,0,0.47557,6.06522,0.03985,0.3422,0.84879,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,4025.01,0.76524,3.69323,0.29739,0.48543,1.14814,0.96979,1,0.995,0.8955,0,0,0,0,0.70526,6.46478,0.04138,0.43308,0.88925,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,4076.9,0.75305,3.68278,0.29383,0.47241,1.1377,0.97047,1,0.995,0.796,0,0,0,0,1.01185,5.27037,0.05847,0.47755,0.97161,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,4129.11,0.73921,3.69314,0.29508,0.46131,1.12927,1,1,0.995,0.8955,0,0,0,0,0.68435,5.52392,0.07228,0.37033,0.89112,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,4181.26,0.74895,3.58731,0.29099,0.46948,1.13795,0.96957,1,0.995,0.6965,0,0,0,0,1.12653,6.11684,0.03822,0.40057,1.00521,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,4233.17,0.7493,3.73137,0.29673,0.46721,1.13997,0.96957,1,0.995,0.796,0,0,0,0,1.02732,6.52637,0.05948,0.34939,0.97866,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,4285.05,0.75281,3.60726,0.29059,0.46762,1.13852,0.96943,1,0.995,0.796,0,0,0,0,0.89547,5.99986,0.03887,0.44097,0.9492,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,4337.11,0.73051,3.52747,0.28952,0.45318,1.12505,0.9697,1,0.995,0.796,0,0,0,0,0.83819,6.02802,0.04454,0.38098,0.89084,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,4388.95,0.73986,3.54272,0.28843,0.45722,1.12669,0.96927,1,0.995,0.8955,0,0,0,0,0.53431,5.92681,0.03686,0.31199,0.90557,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,4440.95,0.72836,3.52411,0.28332,0.45085,1.12789,0.96817,1,0.995,0.796,0,0,0,0,0.87805,5.61093,0.05463,0.33536,0.9591,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,4492.9,0.74413,3.60838,0.28516,0.46587,1.13196,0.96392,1,0.995,0.995,0,0,0,0,0.57858,5.77737,0.03805,0.40209,0.89624,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,4544.96,0.73459,3.56071,0.28311,0.45279,1.13278,0.96874,1,0.995,0.8955,0,0,0,0,0.70097,6.46629,0.03433,0.34611,0.93945,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,4596.92,0.74585,3.60464,0.28723,0.46096,1.1332,0.96907,1,0.995,0.8955,0,0,0,0,0.57009,5.98748,0.0495,0.25478,0.86932,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,4648.94,0.72273,3.50524,0.2886,0.45064,1.12419,1,1,0.995,0.796,0,0,0,0,0.63048,6.05021,0.03414,0.39798,0.88388,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,4701.02,0.72286,3.46609,0.28474,0.44982,1.12461,0.96888,1,0.995,0.6965,0,0,0,0,0.9621,4.91419,0.02492,0.56423,0.97981,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,4753.14,0.72346,3.47431,0.2821,0.44641,1.12055,0.96966,1,0.995,0.796,0,0,0,0,0.70683,5.8837,0.0264,0.4224,0.89546,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,4805.08,0.71546,3.48197,0.28373,0.44023,1.12357,0.96959,1,0.995,0.796,0,0,0,0,0.9092,6.36709,0.02693,0.44764,0.91874,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,4857.22,0.71297,3.46357,0.28217,0.43725,1.12243,0.96873,1,0.995,0.796,0,0,0,0,1.06951,5.79097,0.03883,0.5632,0.96292,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,4909.23,0.72212,3.44966,0.27847,0.44492,1.11898,0.96829,1,0.995,0.8955,0,0,0,0,0.8631,6.09459,0.03455,0.32819,0.94456,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,4961.34,0.7176,3.49463,0.28231,0.44966,1.12283,0.96892,1,0.995,0.796,0,0,0,0,0.98698,5.31514,0.03223,0.41393,0.96285,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,5013.33,0.71949,3.3805,0.27798,0.44707,1.1226,0.96937,1,0.995,0.995,0,0,0,0,0.38705,5.72737,0.05268,0.25862,0.82151,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,5065.46,0.71778,3.36051,0.27445,0.44137,1.11945,0.96902,1,0.995,0.796,0,0,0,0,0.72976,5.71885,0.0237,0.49018,0.88688,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,5117.4,0.71816,3.45118,0.27761,0.44875,1.11976,0.96999,1,0.995,0.8955,0,0,0,0,0.66851,6.24266,0.05155,0.36327,0.86964,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,5169.7,0.71629,3.33065,0.27662,0.44521,1.12193,0.96948,1,0.995,0.8955,0,0,0,0,0.47272,6.06304,0.06092,0.2927,0.85126,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,5221.9,0.70083,3.30551,0.27048,0.43649,1.10511,0.96971,1,0.995,0.796,0,0,0,0,0.71026,5.72952,0.02738,0.28418,0.95268,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,5273.72,0.7064,3.37303,0.27202,0.43514,1.10987,0.96902,1,0.995,0.8955,0,0,0,0,0.5909,6.03905,0.0491,0.29455,0.87605,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,5325.8,0.70376,3.31695,0.26975,0.446,1.11293,0.96823,1,0.995,0.6965,0,0,0,0,1.29288,6.2418,0.04014,0.59678,1.04196,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,5377.89,0.70176,3.30009,0.27772,0.43439,1.11454,1,1,0.995,0.8955,0,0,0,0,0.4273,6.10384,0.03909,0.27153,0.87032,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,5429.72,0.71442,3.31389,0.2738,0.43793,1.11526,1,1,0.995,0.8955,0,0,0,0,0.91007,5.93717,0.03779,0.49657,0.95098,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,5481.56,0.69106,3.23691,0.27474,0.432,1.10624,0.96905,1,0.995,0.8955,0,0,0,0,0.7601,5.41949,0.03458,0.39496,0.93362,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,5533.57,0.6901,3.27252,0.26837,0.42624,1.11001,0.96773,1,0.995,0.796,0,0,0,0,0.68332,5.9706,0.02768,0.49768,0.89413,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,5585.76,0.69411,3.33749,0.27346,0.42886,1.11168,0.97046,1,0.995,0.995,0,0,0,0,0.37794,6.04604,0.0358,0.26811,0.82693,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,5637.84,0.6933,3.22177,0.26595,0.42745,1.09913,0.96964,1,0.995,0.995,0,0,0,0,0.38836,5.75715,0.02758,0.25761,0.85606,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
